2016-01-12	A342 	96	13	1	0	110	108	2
2016-01-12	A351 	33	2	0	0	35	35	0
2016-01-12	A366 	5	1	0	0	6	6	0
2016-01-12	B400 	540	11	5	2	558	541	17
2016-01-12	B410 	63	1	1	0	65	105	11
2016-01-12	B415 	13	0	0	0	13	13	0
2016-01-12	B418 	1	0	1	0	2	2	0
2016-01-12	B420 	34	4	0	0	38	22	16
2016-01-12	B425 	643	0	1	0	644	571	73
2016-01-12	B430 	87	1	0	0	88	79	9
2016-01-12	B433 	20	1	0	0	21	21	0
2016-01-12	B437 	33	5	0	0	38	38	0
2016-01-12	B452 	37	0	1	0	38	38	0
2016-01-12	B465 	26	4	1	0	31	30	1
2016-01-12	B467 	4	0	0	0	4	4	0
2016-01-12	B470 	30	2	0	0	32	27	5
2016-01-12	B476 	15	1	0	0	16	nop	nop
2016-01-12	B478 	6	0	0	0	6	nop	nop
2016-01-12	B490 	84	0	0	0	84	84	0
2016-01-12	B492 	90	0	1	0	91	89	2
2016-01-12	B498 	20	1	0	0	21	21	0
2016-01-12	B500 	259	25	0	2	286	262	24
2016-01-12	B501 	24	2	0	0	26	nop	nop
2016-01-12	B503 	2	0	0	0	2	nop	nop
2016-01-12	B505 	1	0	0	0	1	nop	nop
2016-01-12	B513 	3	3	0	0	6	5	1
2016-01-12	B517 	130	16	1	1	148	123	25
2016-01-12	B527 	1	0	0	0	1	1	0
2016-01-12	B554 	5	0	0	0	5	5	0
2016-01-12	B565 	15	1	0	0	16	15	1
2016-01-12	B569 	1	4	7	0	12	12	0
2016-01-12	B571 	104	0	2	0	106	105	1
2016-01-12	B581 	90	0	0	0	90	86	4
2016-01-12	B591 	18	0	0	0	18	18	0
2016-01-12	*** did run ***
2016-01-13	A100 	567	105	11	7	690	712	26
2016-01-13	A125 	55	26	0	3	84	80	6
2016-01-13	A130 	25	0	0	0	25	nop	nop
2016-01-13	A131 	0	10	0	0	10	11	0
2016-01-13	A140 	11	1	0	0	12	nop	nop
2016-01-13	A168 	0	1	0	0	1	nop	nop
2016-01-13	A192 	6	0	1	0	7	19	0
2016-01-13	A198 	5	0	0	0	5	5	0
2016-01-13	A208 	6	6	0	0	12	12	0
2016-01-13	A230 	6	0	0	0	6	6	0
2016-01-13	A241 	7	0	0	0	7	7	0
2016-01-13	A242 	4	0	0	0	4	4	0
2016-01-13	A243 	10	0	0	0	10	10	0
2016-01-13	A296 	46	16	2	17	81	59	22
2016-01-13	A300 	61	8	0	1	70	65	6
2016-01-13	A310 	11	10	0	0	21	21	0
2016-01-13	A322 	16	0	4	0	20	18	2
2016-01-13	A332 	122	193	0	3	318	112	4
2016-01-13	A334 	43	0	0	0	43	43	0
2016-01-13	A342 	408	10	0	0	418	415	3
2016-01-13	A351 	5	0	0	0	5	5	0
2016-01-13	A366 	20	0	1	0	21	1	20
2016-01-13	B400 	358	267	4	0	629	622	8
2016-01-13	B410 	58	52	1	1	112	198	3
2016-01-13	B415 	32	2	0	0	34	33	1
2016-01-13	B418 	12	5	0	0	17	17	0
2016-01-13	B420 	30	23	0	0	53	53	0
2016-01-13	B424 	1	1	0	0	2	2	0
2016-01-13	B425 	6	0	0	0	6	6	0
2016-01-13	B433 	21	17	0	0	38	38	0
2016-01-13	B437 	11	10	0	0	21	17	4
2016-01-13	B452 	14	14	0	0	28	28	0
2016-01-13	B465 	39	43	5	0	87	52	35
2016-01-13	B467 	5	25	0	0	30	30	0
2016-01-13	B470 	20	9	0	0	29	29	0
2016-01-13	B476 	10	0	0	0	10	nop	nop
2016-01-13	B478 	10	0	0	0	10	nop	nop
2016-01-13	B490 	38	13	0	0	51	51	0
2016-01-13	B492 	45	31	0	0	76	74	2
2016-01-13	B498 	2	12	0	0	14	14	0
2016-01-13	B500 	171	138	1	1	311	284	27
2016-01-13	B501 	38	22	0	0	60	nop	nop
2016-01-13	B503 	6	1	0	0	7	nop	nop
2016-01-13	B505 	2	0	0	0	2	nop	nop
2016-01-13	B507 	1	0	0	0	1	1	0
2016-01-13	B513 	63	0	0	0	63	59	4
2016-01-13	B517 	66	81	0	0	147	145	2
2016-01-13	B527 	2	0	0	0	2	2	0
2016-01-13	B565 	13	1	0	0	14	14	0
2016-01-13	B569 	2	4	0	0	6	6	0
2016-01-13	B571 	2	1	0	0	3	3	0
2016-01-13	B581 	7	0	0	0	7	7	0
2016-01-13	B591 	15	5	0	0	20	20	0
2016-01-13	*** did run ***
2016-01-14	A100 	668	27	9	5	709	707	26
2016-01-14	A125 	72	5	1	0	78	88	1
2016-01-14	A130 	15	0	0	0	15	nop	nop
2016-01-14	A131 	1	0	0	0	1	1	0
2016-01-14	A140 	22	3	0	0	25	nop	nop
2016-01-14	A192 	1	4	0	0	5	5	0
2016-01-14	A198 	2	1	1	0	4	4	0
2016-01-14	A208 	22	12	0	0	34	34	0
2016-01-14	A230 	1	0	0	0	1	1	0
2016-01-14	A242 	0	2	0	0	2	2	0
2016-01-14	A248 	1	0	0	0	1	1	0
2016-01-14	A284 	8	0	0	0	8	nop	nop
2016-01-14	A296 	22	5	0	0	27	27	0
2016-01-14	A300 	30	3	0	0	33	33	0
2016-01-14	A310 	2	0	0	0	2	2	0
2016-01-14	A332 	77	18	30	0	125	52	0
2016-01-14	A334 	25	6	0	1	32	31	1
2016-01-14	A342 	103	99	4	0	206	196	10
2016-01-14	A351 	14	0	2	0	16	15	1
2016-01-14	A366 	1	8	0	0	9	5	4
2016-01-14	B400 	344	23	2	0	369	372	2
2016-01-14	B401 	3	0	0	0	3	nop	nop
2016-01-14	B410 	76	3	0	0	79	221	0
2016-01-14	B415 	30	0	0	0	30	32	1
2016-01-14	B418 	26	0	0	0	26	26	0
2016-01-14	B420 	20	3	2	2	27	24	3
2016-01-14	B425 	10	0	0	0	10	9	1
2016-01-14	B430 	5	1	0	0	6	4	2
2016-01-14	B433 	13	0	4	0	17	17	0
2016-01-14	B437 	8	2	0	0	10	10	0
2016-01-14	B452 	28	0	0	0	28	28	0
2016-01-14	B465 	6	12	1	0	19	19	0
2016-01-14	B467 	8	1	0	0	9	9	0
2016-01-14	B470 	10	0	0	0	10	10	0
2016-01-14	B476 	71	5	0	0	76	nop	nop
2016-01-14	B478 	6	2	0	0	8	nop	nop
2016-01-14	B488 	4	0	0	0	4	nop	nop
2016-01-14	B490 	37	1	0	0	38	38	0
2016-01-14	B492 	95	0	0	0	95	94	1
2016-01-14	B498 	4	0	0	0	4	4	0
2016-01-14	B500 	133	14	1	0	148	146	4
2016-01-14	B501 	33	1	0	0	34	nop	nop
2016-01-14	B503 	7	9	2	0	18	nop	nop
2016-01-14	B505 	1	1	0	0	2	nop	nop
2016-01-14	B517 	98	10	1	0	109	96	13
